,Hospital,Number Died,Number Seen,Death Rate,exp,quantProp
1,1,1,87,1.15,3.218816208,"(2.82,3.54)"
2,2,1,106,0.94,3.429305355,"(2.83,3.53)"
3,3,4,100,4,3.340492828,"(2.83,3.53)"
4,4,4,94,4.26,3.169416523,"(2.83,3.52)"
5,5,1,115,0.87,3.351332787,"(2.85,3.51)"
6,6,2,104,1.92,3.070629606,"(2.84,3.53)"
7,7,7,105,6.67,3.115220806,"(2.84,3.52)"
8,8,4,120,3.33,3.33519369,"(2.85,3.51)"
9,9,0,105,0,3.174517641,"(2.84,3.53)"
10,10,2,100,2,3.150572845,"(2.82,3.53)"
11,11,1,90,1.11,3.042596309,"(2.82,3.54)"
12,12,4,98,4.08,3.282149811,"(2.83,3.52)"
13,13,4,84,4.76,3.283001972,"(2.82,3.54)"
14,14,1,103,0.97,2.99539229,"(2.84,3.52)"
15,15,3,105,2.86,3.168161547,"(2.83,3.52)"
16,16,1,111,0.9,3.134261422,"(2.84,3.51)"
17,17,13,93,13.98,3.477459966,"(2.82,3.53)"
18,18,2,95,2.11,3.175912717,"(2.83,3.53)"
19,19,0,113,0,3.12547196,"(2.83,3.52)"
20,20,2,98,2.04,2.837779978,"(2.82,3.53)"
21,21,5,92,5.43,3.19944484,"(2.82,3.53)"
22,22,2,86,2.33,3.207496906,"(2.82,3.54)"
23,23,6,97,6.19,3.053530103,"(2.83,3.54)"
24,24,4,104,3.85,3.334507723,"(2.83,3.52)"
25,25,3,95,3.16,3.159499098,"(2.82,3.53)"
26,26,4,99,4.04,3.177888008,"(2.83,3.53)"
27,27,2,99,2.02,3.260768967,"(2.84,3.52)"
28,28,5,101,4.95,3.296017971,"(2.83,3.53)"
29,29,2,105,1.9,3.155022621,"(2.83,3.52)"
30,30,10,117,8.55,,
31,31,7,104,6.73,3.148646916,"(2.83,3.52)"
32,32,0,93,0,3.190818795,"(2.82,3.54)"
33,33,0,113,0,3.290604322,"(2.84,3.52)"
34,34,14,99,14.14,3.16502764,"(2.82,3.53)"
35,35,5,84,5.95,3.140549094,"(2.8,3.56)"
36,36,1,99,1.01,2.978697765,"(2.84,3.52)"
37,37,4,107,3.74,3.052904286,"(2.84,3.51)"
38,38,1,113,0.88,3.016351409,"(2.85,3.52)"
39,39,4,101,3.96,3.128907707,"(2.82,3.53)"
40,40,2,86,2.33,3.121308076,"(2.82,3.54)"
41,41,5,116,4.31,3.183983152,"(2.86,3.5)"
42,42,0,107,0,2.969644878,"(2.84,3.52)"
43,43,2,83,2.41,3.215775935,"(2.82,3.54)"
44,44,0,98,0,3.199100782,"(2.82,3.53)"
